epoch,phase,correlation,dim,entropy_x1,entropy_x2,h_independent_joint,h_theoretical,h_x1_given_x2,h_x2_given_x1,joint_entropy,kl_div_1,kl_div_1_per_dim,kl_div_2,kl_div_2_per_dim,kl_div_total,kl_marginals_per_dim_sum,kl_per_dim_sum,kl_sum_per_dim,kl_total_over_dims,kl_weight,kl_x1_per_dim,kl_x2_per_dim,loss,lr,mae,mae_x1_to_x2,mae_x2_to_x1,mi_gen_gen,mi_x1_to_x2,mi_x2_to_x1,mu1_learned,mu2_learned,mutual_information,mutual_information_per_dim,mutual_information_true_gen_proxy,ppo_clip,std1_learned,std2_learned
0,initial,-0.002450214521612557,2,8.116803540904584,8.016425091713824,16.13322863261841,2.8378,0.0,0.0,5.688630185885596,0.0008451463586624055,0.0008451463586624055,0.0009879191289691163,0.0009879191289691163,0.0018330654876315218,0.0018330654876315218,0.0018330654876315218,0.0018330654876315218,0.0036661309752630436,0.0003,0.0008451463586624055,0.0009879191289691163,0.0,5e-05,1.1304723620414734,1.1250449419021606,1.1358997821807861,0.4770708536533803,0.4679247475767938,0.4862169597299668,1.9804580211639404,10.039931297302246,0.4770708536533803,0.23853542682669016,0.4770708536533803,0.1,1.0070922374725342,0.9970714449882507
1,ppo,0.010018268929113554,2,7.983661623926944,8.104776749410933,16.088438373337876,2.8378,0.0,0.0,5.728296328737868,0.0033737229373614437,0.0033737229373614437,0.00620012916175029,0.00620012916175029,0.009573852099111733,0.009573852099111733,0.009573852099111733,0.009573852099111733,0.019147704198223467,0.0003,0.0033737229373614437,0.00620012916175029,-2.792048717559226e-07,5e-05,1.1471969485282898,1.1719980239868164,1.1223958730697632,0.4806071599006325,0.48617739631441204,0.475036923486853,1.943178653717041,9.966646194458008,0.4806071599006325,0.24030357995031626,0.4806071599006325,0.1,0.9829553365707397,1.0639439821243286
2,ppo,-0.004247166014348902,2,8.06759622352557,8.103977324314904,16.171573547840474,2.8378,0.0,0.0,5.667313445277031,0.004676039544417445,0.004676039544417445,0.0015440289162551393,0.0015440289162551393,0.006220068460672584,0.006220068460672584,0.006220068460672584,0.006220068460672584,0.012440136921345168,0.0003,0.004676039544417445,0.0015440289162551393,-2.1555905092562887e-07,5e-05,1.1286563277244568,1.1141592264175415,1.143153429031372,0.4902210705176051,0.4895534921895588,0.4908886488456514,2.038501501083374,9.978809356689453,0.4902210705176051,0.24511053525880255,0.4902210705176051,0.1,1.011723518371582,0.9730874300003052
3,ppo,-0.010766014202758776,2,8.20158046253248,7.853005758612593,16.054586221145072,2.8378,0.0,0.0,5.687339462066003,0.003514569237642295,0.003514569237642295,0.009845055301865085,0.009845055301865085,0.01335962453950738,0.01335962453950738,0.01335962453950738,0.01335962453950738,0.02671924907901476,0.0003,0.003514569237642295,0.009845055301865085,-2.397867593595393e-07,5e-05,1.1338573098182678,1.1063339710235596,1.161380648612976,0.4833193825524411,0.4511724276395013,0.515466337465381,2.022718906402588,10.118824005126953,0.4833193825524411,0.24165969127622056,0.4833193825524411,0.1,1.039628028869629,0.9649746417999268
4,ppo,-0.005221639271055135,2,7.963942381856741,8.060522236281553,16.024464618138296,2.8378,0.0,0.0,5.655327803503251,0.0010084279484801361,0.0010084279484801361,0.003059330121548708,0.003059330121548708,0.004067758070028844,0.004067758070028844,0.004067758070028844,0.004067758070028844,0.008135516140057688,0.0003,0.0010084279484801361,0.003059330121548708,-1.725339127567338e-07,5e-05,1.1275713443756104,1.1146162748336792,1.1405264139175415,0.4725455276748045,0.47391809567283216,0.47117295967677686,1.9956772327423096,10.035491943359375,0.4725455276748045,0.23627276383740226,0.4725455276748045,0.1,1.009026288986206,0.9641469717025757
5,ppo,-0.002808991359233754,2,8.13644864166788,8.129736621348648,16.266185263016528,2.8378,0.0,0.0,5.679716862629153,0.0037279867157710774,0.0037279867157710774,0.0056066239567126065,0.0056066239567126065,0.009334610672483683,0.009334610672483683,0.009334610672483683,0.009334610672483683,0.018669221344967367,0.0003,0.0037279867157710774,0.0056066239567126065,-2.0172989532163398e-07,5e-05,1.1300100088119507,1.1262253522872925,1.1337946653366089,0.4934306216262976,0.49366104913150277,0.4932001941210924,2.0152101516723633,10.105083465576172,0.4934306216262976,0.2467153108131488,0.4934306216262976,0.1,1.0032141208648682,0.9933438301086426
6,ppo,0.014547853796321645,2,8.147216397971953,7.9483313073115,16.09554770528345,2.8378,0.0,0.0,5.689780474254413,0.006293566659218355,0.006293566659218355,0.009446956427591842,0.009446956427591842,0.015740523086810197,0.015740523086810197,0.015740523086810197,0.015740523086810197,0.031481046173620394,0.0003,0.006293566659218355,0.009446956427591842,-2.193675429862374e-07,5e-05,1.1354053020477295,1.1318244934082031,1.1389861106872559,0.4868370394039694,0.46543388222786986,0.5082401965800689,1.9289402961730957,10.118228912353516,0.4868370394039694,0.2434185197019847,0.4868370394039694,0.1,1.0171608924865723,0.9910001754760742
7,ppo,-4.105622841599687e-05,2,7.999918658243455,7.936693673104799,15.936612331348254,2.8378,0.0,0.0,5.678384811159666,0.007893143952184087,0.007893143952184087,0.0037705072282130945,0.0037705072282130945,0.01166365118039718,0.01166365118039718,0.01166365118039718,0.01166365118039718,0.02332730236079436,0.0003,0.007893143952184087,0.0037705072282130945,-1.8780449106969854e-07,5e-05,1.129519283771515,1.115609884262085,1.1434286832809448,0.46981815013607164,0.46501389125866677,0.4746224090134765,1.907228946685791,10.066515922546387,0.46981815013607164,0.23490907506803582,0.46981815013607164,0.1,1.0094252824783325,0.9846469163894653
8,ppo,0.014017885230699127,2,8.101222642539033,8.066982730964188,16.16820537350322,2.8378,0.0,0.0,5.697867708668146,0.004515720118823728,0.004515720118823728,0.0009320142663295953,0.0009320142663295953,0.005447734385153323,0.005447734385153323,0.005447734385153323,0.005447734385153323,0.010895468770306647,0.0003,0.004515720118823728,0.0009320142663295953,-2.0496265209501985e-07,5e-05,1.1324012279510498,1.120450735092163,1.1443517208099365,0.4828422082550443,0.4770689117889968,0.48861550472109183,1.9412930011749268,9.993672370910645,0.4828422082550443,0.24142110412752216,0.4828422082550443,0.1,1.017667293548584,0.9971668720245361
9,ppo,-0.02032985285000795,2,8.156547218430092,7.9909451252922015,16.14749234372229,2.8378,0.0,0.0,5.674542795554446,0.0010754749800661084,0.0010754749800661084,0.003182941628978545,0.003182941628978545,0.004258416609044653,0.004258416609044653,0.004258416609044653,0.004258416609044653,0.008516833218089307,0.0003,0.0010754749800661084,0.003182941628978545,-1.7650065746721567e-07,5e-05,1.1340453028678894,1.1098078489303589,1.15828275680542,0.4781746917891845,0.4561133776225188,0.5002360059558502,1.9928733110427856,10.052522659301758,0.4781746917891845,0.23908734589459224,0.4781746917891845,0.1,1.021336317062378,0.9701517820358276
