epoch,phase,correlation,dim,entropy_x1,entropy_x2,h_independent_joint,h_theoretical,h_x1_given_x2,h_x2_given_x1,joint_entropy,kl_div_1,kl_div_1_per_dim,kl_div_2,kl_div_2_per_dim,kl_div_total,kl_marginals_per_dim_sum,kl_per_dim_sum,kl_sum_per_dim,kl_total_over_dims,kl_x1_per_dim,kl_x2_per_dim,loss,lr,mae,mae_x1_to_x2,mae_x2_to_x1,mi_gen_gen,mi_x1_to_x2,mi_x2_to_x1,mu1_learned,mu2_learned,mutual_information,mutual_information_per_dim,mutual_information_true_gen_proxy,obj_base,sigma,std1_learned,std2_learned
0,initial,-0.0013973652667712173,5,20.250518969957295,20.025021919304976,40.275540889262274,7.0945,0.0,0.0,14.061989460335234,0.0006635031847308197,0.0006635031847308197,0.0005399395422897525,0.0005399395422897525,0.001203442727020572,0.001203442727020572,0.001203442727020572,0.001203442727020572,0.0060172136351028605,0.0006635031847308197,0.0005399395422897525,0.0,0.0002,1.1165278553962708,1.1139214038848877,1.1191343069076538,0.47998900023009394,0.47867259686128155,0.48130540359890633,1.9919970035552979,10.008552551269531,0.47998900023009394,0.0959978000460188,0.47998900023009394,,0.001,0.987331748008728,0.9853574633598328
1,es,0.0034141090708148915,5,20.120051585537226,19.71839804817452,39.83844963371175,7.0945,0.0,0.0,14.064655503035754,0.0013865495746693015,0.0013865495746693015,0.0007315439664203501,0.0007315439664203501,0.0021180935410896515,0.0021180935410896515,0.0021180935410896515,0.0021180935410896515,0.010590467705448258,0.0013865495746693015,0.0007315439664203501,0.0015661974094751464,0.0002,1.1132722861350755,1.1086078505571713,1.1179367217129796,0.46658280875241065,0.45268607587381293,0.48047954163100837,1.9920298133253886,9.996168967158766,0.46658280875241065,0.09331656175048213,0.46658280875241065,-0.0015661974094751464,0.001,0.9888281749833144,0.9855216187117257
2,es,0.008275077584164087,5,19.997233299419182,20.128415831594882,40.125649131014065,7.0945,0.0,0.0,14.083228463037974,0.0008592551184312122,0.0008592551184312122,0.000494021208853407,0.000494021208853407,0.0013532763272846192,0.0013532763272846192,0.0013532763272846192,0.0013532763272846192,0.006766381636423096,0.0008592551184312122,0.000494021208853407,0.00470383573581623,0.0002,1.1157815424118684,1.1171905800923467,1.11437250473139,0.47971114870361553,0.4821703429157546,0.4772519544914765,1.9878040859966972,9.998316329584208,0.47971114870361553,0.09594222974072311,0.47971114870361553,-0.00470383573581623,0.001,0.9879635366189911,0.99316754355757
3,es,0.0028723893424411158,5,20.222904538397152,20.004958735848284,40.227863274245436,7.0945,0.0,0.0,14.068249405362842,0.0006550942039564104,0.0006550942039564104,0.0006520862768898458,0.0006520862768898458,0.0013071804808462563,0.0013071804808462563,0.0013071804808462563,0.0013071804808462563,0.006535902404231282,0.0006550942039564104,0.0006520862768898458,0.00471647646059447,0.0002,1.1123836425197973,1.111826678237062,1.1129406068025323,0.4786823849924403,0.4697216940268394,0.4876430759580412,1.9965896331053297,9.992425061724742,0.4786823849924403,0.09573647699848806,0.4786823849924403,-0.00471647646059447,0.001,0.9846127464394356,0.9905715989510391
4,es,-0.011689095138954723,5,20.1497131836377,20.147792183514987,40.29750536715269,7.0945,0.0,0.0,14.066697609878211,0.000997370925377166,0.000997370925377166,0.0005398671115670106,0.0005398671115670106,0.0015372380369441767,0.0015372380369441767,0.0015372380369441767,0.0015372380369441767,0.007686190184720883,0.000997370925377166,0.0005398671115670106,0.0005579543056565547,0.0002,1.117903152857032,1.113655106794428,1.1221511989196362,0.48371539576263023,0.48323785721905155,0.4841929343062089,2.0019300201811685,9.992713727862427,0.48371539576263023,0.09674307915252604,0.48371539576263023,-0.0005579543056565547,0.001,0.983925697409935,0.9911531102573397
5,es,0.002561441879740855,5,19.996074789931505,20.053911301292487,40.04998609122399,7.0945,0.0,0.0,14.057402115884837,0.0007993858145094896,0.0007993858145094896,0.0005739926251695094,0.0005739926251695094,0.0013733784396789991,0.0013733784396789991,0.0013733784396789991,0.0013733784396789991,0.006866892198394996,0.0007993858145094896,0.0005739926251695094,-0.002504781706187518,0.0002,1.115041799953453,1.1135199378214906,1.1165636620854151,0.47424788826104314,0.4826820869758185,0.46581368954626773,2.008188996410639,10.007606249594549,0.47424788826104314,0.09484957765220862,0.47424788826104314,0.002504781706187518,0.001,0.9850104474067857,0.9853649970248748
6,es,0.006452860314520683,5,20.002668537370397,19.99852614030096,40.00119467767136,7.0945,0.0,0.0,14.093847132348913,0.0008099813927504223,0.0008099813927504223,0.0003512238238122252,0.0003512238238122252,0.0011612052165626476,0.0011612052165626476,0.0011612052165626476,0.0011612052165626476,0.005806026082813238,0.0008099813927504223,0.0003512238238122252,0.014196697539628706,0.0002,1.1177113634415101,1.1184748265305815,1.1169479003524387,0.47503384942234883,0.4705512378561972,0.4795164609885004,2.000706046337704,9.99255352060386,0.47503384942234883,0.09500676988446977,0.47503384942234883,-0.014196697539628706,0.001,0.9910357730511608,0.9942765920720701
7,es,0.0019818969666708943,5,20.34312385435062,20.051533085295034,40.39465693964566,7.0945,0.0,0.0,14.08184909113822,0.0005105963173271873,0.0005105963173271873,0.00036486980576811486,0.00036486980576811486,0.0008754661230953022,0.0008754661230953022,0.0008754661230953022,0.0008754661230953022,0.0043773306154765105,0.0005105963173271873,0.00036486980576811486,-0.0010315530681286756,0.0002,1.1207665079622553,1.1244031500108873,1.1171298659136233,0.48198947333694414,0.4765350732393978,0.48744387343449047,2.0059539647607165,10.01209503115531,0.48198947333694414,0.09639789466738882,0.48198947333694414,0.0010315530681286756,0.001,0.9873925832531851,0.993021666537475
8,es,-0.009160438677981986,5,19.94798878005019,19.85833107481259,39.80631985486278,7.0945,0.0,0.0,14.085741106547841,0.0008544057100929658,0.0008544057100929658,0.000608078365158074,0.000608078365158074,0.0014624840752510398,0.0014624840752510398,0.0014624840752510398,0.0014624840752510398,0.007312420376255199,0.0008544057100929658,0.000608078365158074,0.0025829250588000827,0.0002,1.1177204090358677,1.113113125397827,1.122327692673908,0.46857812760062484,0.4687535696823854,0.46840268551886427,1.9951428851375426,10.006407174026997,0.46857812760062484,0.09371562552012497,0.46857812760062484,-0.0025829250588000827,0.001,0.9907209722396164,0.9916146473140486
9,es,0.008443367553521245,5,19.96810549276226,20.194243113306236,40.16234860606849,7.0945,0.0,0.0,14.088639630745565,0.0014705257604037986,0.0014705257604037986,0.0006241487388826369,0.0006241487388826369,0.0020946744992864355,0.0020946744992864355,0.0020946744992864355,0.0020946744992864355,0.010473372496432178,0.0014705257604037986,0.0006241487388826369,0.0036340008946417926,0.0002,1.1159784027708302,1.1170975687985152,1.114859236743145,0.47496837139374676,0.48766143632805276,0.46227530645944076,1.9954343377997046,9.998164771543411,0.47496837139374676,0.09499367427874936,0.47496837139374676,-0.0036340008946417926,0.001,0.9901619032673782,0.993926272450721
10,es,0.007601881065624203,5,19.973153217878682,20.48337236619517,40.45652558407385,7.0945,0.0,0.0,14.109113148938722,0.001039129379628563,0.001039129379628563,0.000210188903170991,0.000210188903170991,0.0012493182827995539,0.0012493182827995539,0.0012493182827995539,0.0012493182827995539,0.006246591413997769,0.001039129379628563,0.000210188903170991,0.001510135534227089,0.0002,1.1156224526550624,1.113187115727725,1.1180577895823998,0.48613202696371616,0.5034464898713507,0.4688175640560816,2.007283913463289,9.998057907260334,0.48613202696371616,0.09722640539274323,0.48613202696371616,-0.001510135534227089,0.001,0.9972111929361022,0.9939330310580232
