epoch,phase,correlation,dim,entropy_x1,entropy_x2,h_independent_joint,h_theoretical,h_x1_given_x2,h_x2_given_x1,joint_entropy,kl_div_1,kl_div_1_per_dim,kl_div_2,kl_div_2_per_dim,kl_div_total,kl_marginals_per_dim_sum,kl_per_dim_sum,kl_sum_per_dim,kl_total_over_dims,kl_x1_per_dim,kl_x2_per_dim,loss,lr,mae,mae_x1_to_x2,mae_x2_to_x1,mi_gen_gen,mi_x1_to_x2,mi_x2_to_x1,mu1_learned,mu2_learned,mutual_information,mutual_information_per_dim,mutual_information_true_gen_proxy,obj_base,sigma,std1_learned,std2_learned
0,initial,-0.010230390392579232,1,4.041875116491568,4.028034598949926,8.069909715441494,1.4189,4.041875116491568,4.028034598949926,8.010400814719025,3.619530557009746e-06,3.619530557009746e-06,0.0002411796527737132,0.0002411796527737132,0.00024479918333072297,0.00024479918333072297,0.00024479918333072297,0.00024479918333072297,0.00024479918333072297,3.619530557009746e-06,0.0002411796527737132,0.0,0.0002,1.1515929698944092,1.150264859199524,1.1529210805892944,0.46599852271788755,0.4563143307529387,0.4756827146828364,2.002626657485962,10.02104663848877,0.46599852271788755,0.46599852271788755,0.46599852271788755,,0.001,0.9953537583351135,1.004441738128662
1,es,-0.020378801791812735,1,4.075148402068124,4.102721581994143,8.177869984062268,1.4189,4.075148402068123,4.102721581994144,8.064380949029413,0.00024983917102151186,0.00024983917102151186,0.0001738748082181021,0.0001738748082181021,0.00042371397923961397,0.00042371397923961397,0.00042371397923961397,0.00042371397923961397,0.00042371397923961397,0.00024983917102151186,0.0001738748082181021,0.006796931349662479,0.0002,1.134927921488944,1.1289738859534633,1.140881957024425,0.48916984998872337,0.4915872657392715,0.48675243423817527,1.9794632746343763,10.013736868556888,0.48916984998872337,0.48916984998872337,0.48916984998872337,-0.006796931349662479,0.001,1.0010320121345573,0.9910956129167399
2,es,0.009773642658671259,1,4.005334625284639,4.022932465228628,8.028267090513268,1.4189,4.005334625284638,4.022932465228628,7.989579502254911,3.743437592819207e-05,3.743437592819207e-05,0.00014725824520961945,0.00014725824520961945,0.0001846926211378115,0.0001846926211378115,0.0001846926211378115,0.0001846926211378115,0.0001846926211378115,3.743437592819207e-05,0.00014725824520961945,-0.005636085865975716,0.0002,1.1361152901698968,1.1405439445474315,1.1316866357923623,0.4542527686468514,0.45335323681380046,0.4551523004799023,1.9920456091311274,10.01653418804113,0.4542527686468514,0.4542527686468514,0.4542527686468514,0.005636085865975716,0.001,0.9926592125206144,0.9967506777958735
3,es,0.01988288281404354,1,4.090306369792904,3.8424126042431945,7.932718974036098,1.4189,4.090306369792904,3.842412604243195,7.941805444016328,0.00011752129909163627,0.00011752129909163627,0.0001031945376630807,0.0001031945376630807,0.00022071583675471696,0.00022071583675471696,0.00022071583675471696,0.00022071583675471696,0.00022071583675471696,0.00011752129909163627,0.0001031945376630807,0.0015959172807147517,0.0002,1.129667305873302,1.132255285290836,1.127079326455768,0.43182301049087757,0.39208406043373056,0.4715619605480246,1.9854900132787932,10.013846203171283,0.43182301049087757,0.43182301049087757,0.43182301049087757,-0.0015959172807147517,0.001,0.9916610475607376,0.9972925588122155
4,es,-0.01681395853434673,1,4.120147034680663,4.023056395889234,8.143203430569898,1.4189,4.120147034680663,4.023056395889235,8.047047672283227,3.184238100181563e-06,3.184238100181563e-06,0.00010996849520993851,0.00010996849520993851,0.00011315273331012008,0.00011315273331012008,0.00011315273331012008,0.00011315273331012008,0.00011315273331012008,3.184238100181563e-06,0.00010996849520993851,-0.002993092361110701,0.0002,1.14310340960275,1.1421392864718525,1.1440675327336474,0.4719748783467361,0.450753540466188,0.49319621622728427,2.0011943732903137,10.01406470929331,0.4719748783467361,0.4719748783467361,0.4719748783467361,0.002993092361110701,0.001,0.9965499377999217,0.9966759665553981
5,es,0.025137718562162004,1,3.970957689192883,4.069945410951028,8.040903100143911,1.4189,3.970957689192883,4.0699454109510285,7.995897507070234,0.00033721480247868784,0.00033721480247868784,0.0008452065720426052,0.0008452065720426052,0.001182421374521293,0.001182421374521293,0.001182421374521293,0.001182421374521293,0.001182421374521293,0.00033721480247868784,0.0008452065720426052,0.021805905161351172,0.0002,1.118461046480543,1.1258825046115282,1.1110395883495574,0.4553637792503187,0.4700738567467653,0.4406537017538721,2.0194318324003113,10.036226158141003,0.4553637792503187,0.4553637792503187,0.4553637792503187,-0.021805905161351172,0.001,0.9829683435879429,0.9862824586137762
6,es,0.04488409615840105,1,4.033894277202126,4.045244759503208,8.079139036705335,1.4189,4.033894277202126,4.045244759503209,8.015015475350946,9.695373079776636e-05,9.695373079776636e-05,0.0002338345321377127,0.0002338345321377127,0.00033078826293547904,0.00033078826293547904,0.00033078826293547904,0.00033078826293547904,0.00033078826293547904,9.695373079776636e-05,0.0002338345321377127,0.0031530758970024545,0.0002,1.1274480299070335,1.1377699751666666,1.1171260846474007,0.46604071708542527,0.46804256255630516,0.4640388716145454,2.00830204562083,10.017573295748967,0.46604071708542527,0.46604071708542527,0.46604071708542527,-0.0031530758970024545,0.001,1.0028413890303787,0.9911011968849136
7,es,0.0018658198314216645,1,4.045399066878067,3.962032541714292,8.00743160859236,1.4189,4.045399066878067,3.9620325417142914,7.979161761294458,4.504265357098203e-05,4.504265357098203e-05,6.331316245231308e-05,6.331316245231308e-05,0.00010835581602329511,0.00010835581602329511,0.00010835581602329511,0.00010835581602329511,0.00010835581602329511,4.504265357098203e-05,6.331316245231308e-05,0.013577916781607973,0.0002,1.136471896553076,1.1453009818644866,1.1276428112416652,0.4577123885549197,0.4448522673376978,0.4705725097721416,2.002013658577695,10.010777661778414,0.4577123885549197,0.4577123885549197,0.4577123885549197,-0.013577916781607973,0.001,0.988470334393428,1.0022889203357528
8,es,0.006792146271113584,1,4.088790804363589,3.954280505713665,8.043071310077254,1.4189,4.0887908043635885,3.954280505713665,7.9969816120369055,3.363121021967869e-05,3.363121021967869e-05,0.0005772661154376067,0.0005772661154376067,0.0006108973256572854,0.0006108973256572854,0.0006108973256572854,0.0006108973256572854,0.0006108973256572854,3.363121021967869e-05,0.0005772661154376067,-0.001972241204594029,0.0002,1.1322364826643199,1.1397543158907137,1.124718649437926,0.45603448364241483,0.42784637988695806,0.4842225873978716,1.9929491255628604,10.010918381586567,0.45603448364241483,0.45603448364241483,0.45603448364241483,0.001972241204594029,0.001,0.9920839452718654,0.9773347568194299
9,es,-0.0030047630377271167,1,4.051611093298932,4.0472198207298495,8.098830914028781,1.4189,4.051611093298932,4.04721982072985,8.024861414012669,0.00012478378100206792,0.00012478378100206792,2.6878449967707713e-05,2.6878449967707713e-05,0.00015166223096977564,0.00015166223096977564,0.00015166223096977564,0.00015166223096977564,0.00015166223096977564,0.00012478378100206792,2.6878449967707713e-05,0.02748870986031737,0.0002,1.138213689342844,1.1334023408625984,1.14302503782309,0.4747800751443134,0.4769080387886202,0.47265211150000663,1.9966220309228244,9.99879058897569,0.4747800751443134,0.4747800751443134,0.4747800751443134,-0.02748870986031737,0.001,1.0058621297929053,0.9948908429405815
