dim,winner,es_score,es_kl,es_corr,es_mae,es_mi,es_mi_per_dim,es_cfg,ppo_score,ppo_kl,ppo_corr,ppo_mae,ppo_mi,ppo_mi_per_dim,ppo_cfg
2,ES,3.3485922123851632,0.0009151390329024973,0.002260547794915667,1.133006054230791,0.4834843031887426,0.2417421515943713,σ=0.001 lr=0.0002,nan,nan,nan,nan,nan,nan,(none)
5,ES,3.3200700594775743,0.0012493182827995539,0.007601881065624203,1.1156224526550624,0.48613202696371616,0.09722640539274323,σ=0.001 lr=0.0002,nan,nan,nan,nan,nan,nan,(none)
10,ES,3.3564828986272084,0.0011646159751443886,-0.0006966342487514509,1.1216305938270916,0.46692201489233476,0.046692201489233476,σ=0.001 lr=0.0001,nan,nan,nan,nan,nan,nan,(none)
20,ES,3.356174453586395,0.0009210589051234191,0.0009951368375131255,1.119848083481841,0.25588718026394197,0.012794359013197098,σ=0.001 lr=0.0001,nan,nan,nan,nan,nan,nan,(none)
30,ES,3.363051705716925,0.0016087238209181367,0.0030516719401372486,1.1224919350914937,0.25412585724037606,0.008470861908012535,σ=0.001 lr=0.0002,nan,nan,nan,nan,nan,nan,(none)
