epoch,phase,correlation,dim,entropy_x1,entropy_x2,h_independent_joint,h_theoretical,h_x1_given_x2,h_x2_given_x1,joint_entropy,kl_div_1,kl_div_1_per_dim,kl_div_2,kl_div_2_per_dim,kl_div_total,kl_marginals_per_dim_sum,kl_per_dim_sum,kl_sum_per_dim,kl_total_over_dims,kl_weight,kl_x1_per_dim,kl_x2_per_dim,loss,lr,mae,mae_x1_to_x2,mae_x2_to_x1,mi_gen_gen,mi_x1_to_x2,mi_x2_to_x1,mu1_learned,mu2_learned,mutual_information,mutual_information_per_dim,mutual_information_true_gen_proxy,ppo_clip,std1_learned,std2_learned
0,initial,0.0006628362304985189,10,39.87470338550818,40.43058871391262,80.3052920994208,14.189,0.0,0.0,28.36586057180739,0.0002563217137732091,0.0002563217137732091,0.00047466131506115677,0.00047466131506115677,0.0007309830288343658,0.0007309830288343658,0.0007309830288343658,0.0007309830288343658,0.007309830288343658,0.0003,0.0002563217137732091,0.00047466131506115677,0.0,1e-05,1.1301172971725464,1.1331604719161987,1.127074122428894,0.47333917923438296,0.4829786018013504,0.4636997566674155,2.005974769592285,10.003518104553223,0.47333917923438296,0.047333917923438294,0.47333917923438296,0.02,0.9943698644638062,1.004083275794983
1,ppo,0.002604183604896792,10,40.33098313815617,40.240752373913026,80.5717355120692,14.189,0.0,0.0,28.33426576036642,0.0008106687073985276,0.0008106687073985276,0.0005656874306447439,0.0005656874306447439,0.0013763561380432715,0.0013763561380432715,0.0013763561380432715,0.0013763561380432715,0.013763561380432715,0.0003,0.0008106687073985276,0.0005656874306447439,-3.5140441347891736e-07,1e-05,1.1277047395706177,1.129445195198059,1.1259642839431763,0.4773051537342785,0.47432196249966035,0.48028834496889666,1.9930366277694702,10.000746726989746,0.4773051537342785,0.04773051537342785,0.4773051537342785,0.02,0.9924356341362,0.9994695782661438
2,ppo,0.0027585238934065555,10,40.5363530844389,40.305123150304034,80.84147623474294,14.189,0.0,0.0,28.291013719175893,0.0006667866485649973,0.0006667866485649973,0.0006202765201279967,0.0006202765201279967,0.001287063168692994,0.001287063168692994,0.001287063168692994,0.001287063168692994,0.01287063168692994,0.0003,0.0006667866485649973,0.0006202765201279967,-2.789590826779431e-07,1e-05,1.125461220741272,1.1274571418762207,1.1234652996063232,0.48544979008429856,0.47975792426795305,0.4911416559006441,1.9980272054672241,10.004413604736328,0.48544979008429856,0.048544979008429856,0.48544979008429856,0.02,0.988566517829895,0.9950839281082153
3,ppo,-0.00011554743579387393,10,40.34535225597816,39.927696194264485,80.27304845024264,14.189,0.0,0.0,28.39062486429103,0.0009807718670012326,0.0009807718670012326,0.0008595496659273775,0.0008595496659273775,0.0018403215329286101,0.0018403215329286101,0.0018403215329286101,0.0018403215329286101,0.018403215329286102,0.0003,0.0009807718670012326,0.0008595496659273775,-2.700701557500906e-07,1e-05,1.1323084235191345,1.130182147026062,1.134434700012207,0.47497875027184333,0.467119844256333,0.4828376562873536,2.0097126960754395,10.0051851272583,0.47497875027184333,0.04749787502718433,0.47497875027184333,0.02,1.0009645223617554,1.0029592514038086
4,ppo,0.004116370371900634,10,40.153863882583714,40.38171095427565,80.53557483685935,14.189,0.0,0.0,28.36211273176455,0.0011265410903782875,0.0011265410903782875,0.0006823524817444165,0.0006823524817444165,0.001808893572122704,0.001808893572122704,0.001808893572122704,0.001808893572122704,0.01808893572122704,0.0003,0.0011265410903782875,0.0006823524817444165,-2.7741285038018757e-07,1e-05,1.1291172504425049,1.129819631576538,1.1284148693084717,0.480584917673642,0.48316540656784346,0.47800442877944055,2.0120348930358887,9.999303817749023,0.480584917673642,0.048058491767364195,0.480584917673642,0.02,0.9973508715629578,1.0006945133209229
5,ppo,-0.005423767322704618,10,40.28335194560924,40.30039229369957,80.58374423930881,14.189,0.0,0.0,28.36571904120143,0.0010510586369857319,0.0010510586369857319,0.0009669691477024997,0.0009669691477024997,0.0020180277846882314,0.0020180277846882314,0.0020180277846882314,0.0020180277846882314,0.020180277846882314,0.0003,0.0010510586369857319,0.0009669691477024997,-2.8137080967383097e-07,1e-05,1.13079172372818,1.1289279460906982,1.1326555013656616,0.47440330767925043,0.4740702879160047,0.47473632744249616,2.01777720451355,10.006471633911133,0.47440330767925043,0.047440330767925046,0.47440330767925043,0.02,0.999144434928894,0.9995723962783813
6,ppo,-0.0007693886475762222,10,40.18892090089282,40.014199350429735,80.20312025132256,14.189,0.0,0.0,28.40139420103096,0.0013289962602567515,0.0013289962602567515,0.0009773443363025693,0.0009773443363025693,0.0023063405965593206,0.0023063405965593206,0.0023063405965593206,0.0023063405965593206,0.023063405965593205,0.0003,0.0013289962602567515,0.0009773443363025693,-2.83574884463178e-07,1e-05,1.131839632987976,1.1323997974395752,1.131279468536377,0.4706718853970421,0.4654041818333985,0.4759395889606857,2.0150277614593506,10.006406784057617,0.4706718853970421,0.04706718853970421,0.4706718853970421,0.02,0.9979469180107117,1.0079413652420044
7,ppo,0.0022893021200080885,10,40.39735558920802,40.22040738967547,80.61776297888349,14.189,0.0,0.0,28.360222809221227,0.0020215206620576554,0.0020215206620576554,0.0006848822016268444,0.0006848822016268444,0.0027064028636845,0.0027064028636845,0.0027064028636845,0.0027064028636845,0.027064028636844997,0.0003,0.0020215206620576554,0.0006848822016268444,-2.703544012661041e-07,1e-05,1.1276652216911316,1.1318466663360596,1.1234837770462036,0.4768042644123204,0.47466286033254707,0.47894566849209363,2.0167007446289062,10.000804901123047,0.4768042644123204,0.047680426441232035,0.4768042644123204,0.02,0.9903945922851562,1.0071743726730347
8,ppo,0.01071961400700105,10,40.17628318657754,40.468607239559745,80.6448904261373,14.189,0.0,0.0,28.37395109356815,0.0019163669874590345,0.0019163669874590345,0.0011201943580688308,0.0011201943580688308,0.003036561345527865,0.003036561345527865,0.003036561345527865,0.003036561345527865,0.03036561345527865,0.0003,0.0019163669874590345,0.0011201943580688308,-2.7112198317524874e-07,1e-05,1.124556541442871,1.1285024881362915,1.1206105947494507,0.4799925296856359,0.48596401041993403,0.4740210489513378,2.0112037658691406,10.002161026000977,0.4799925296856359,0.04799925296856359,0.4799925296856359,0.02,0.9932600259780884,1.0071786642074585
9,ppo,-0.004536635368819704,10,40.49337450871525,40.09739800829959,80.59077251701484,14.189,0.0,0.0,28.367530559992076,0.0027639135087982308,0.0027639135087982308,0.0008409332901115112,0.0008409332901115112,0.003604846798909742,0.003604846798909742,0.003604846798909742,0.003604846798909742,0.036048467989097416,0.0003,0.0027639135087982308,0.0008409332901115112,-2.765211963406955e-07,1e-05,1.1304635405540466,1.1294406652450562,1.131486415863037,0.47715757398440517,0.47139143021923846,0.48292371774957193,2.0207130908966064,9.996582984924316,0.47715757398440517,0.047715757398440514,0.47715757398440517,0.02,0.991935133934021,1.0070363283157349
