epoch,phase,correlation,dim,entropy_x1,entropy_x2,h_independent_joint,h_theoretical,h_x1_given_x2,h_x2_given_x1,joint_entropy,kl_div_1,kl_div_1_per_dim,kl_div_2,kl_div_2_per_dim,kl_div_total,kl_marginals_per_dim_sum,kl_per_dim_sum,kl_sum_per_dim,kl_total_over_dims,kl_x1_per_dim,kl_x2_per_dim,loss,lr,mae,mae_x1_to_x2,mae_x2_to_x1,mi_gen_gen,mi_x1_to_x2,mi_x2_to_x1,mu1_learned,mu2_learned,mutual_information,mutual_information_per_dim,mutual_information_true_gen_proxy,obj_base,sigma,std1_learned,std2_learned
0,initial,-0.010230390392579232,1,4.041875116491568,4.028034598949926,8.069909715441494,1.4189,4.041875116491568,4.028034598949926,8.010400814719025,3.619530557009746e-06,3.619530557009746e-06,0.0002411796527737132,0.0002411796527737132,0.00024479918333072297,0.00024479918333072297,0.00024479918333072297,0.00024479918333072297,0.00024479918333072297,3.619530557009746e-06,0.0002411796527737132,0.0,0.0005,1.1515929698944092,1.150264859199524,1.1529210805892944,0.46599852271788755,0.4563143307529387,0.4756827146828364,2.002626657485962,10.02104663848877,0.46599852271788755,0.46599852271788755,0.46599852271788755,,0.002,0.9953537583351135,1.004441738128662
1,es,-0.02037883166014111,1,4.075148402068124,4.102721581994143,8.177869984062268,1.4189,4.075148402068123,4.102721581994144,8.064380949029413,0.0002497957583340912,0.0002497957583340912,0.00017391463692036189,0.00017391463692036189,0.0004237103952544531,0.0004237103952544531,0.0004237103952544531,0.0004237103952544531,0.0004237103952544531,0.0002497957583340912,0.00017391463692036189,0.006797059872130438,0.0005,1.1349274188324199,1.1289763052677688,1.140878532397071,0.48916984998872337,0.4915872657392715,0.48675243423817527,1.9794619377072509,10.013745277059503,0.48916984998872337,0.48916984998872337,0.48916984998872337,-0.006797059872130438,0.002,1.001026165326258,0.9910998463664745
2,es,0.009773576960553414,1,4.005334625284639,4.022932465228628,8.028267090513268,1.4189,4.005334625284638,4.022932465228628,7.989579502254911,3.7424721739049553e-05,3.7424721739049553e-05,0.00014725372446916445,0.00014725372446916445,0.000184678446208214,0.000184678446208214,0.000184678446208214,0.000184678446208214,0.000184678446208214,3.7424721739049553e-05,0.00014725372446916445,-0.005636331812665793,0.0005,1.1361150821341153,1.140545035957622,1.1316851283106084,0.4542527686468514,0.45335323681380046,0.4551523004799023,1.9920483756932446,10.01653469929632,0.4542527686468514,0.4542527686468514,0.4542527686468514,0.005636331812665793,0.002,0.9926565445780909,0.9967526715854751
3,es,0.019882640949623255,1,4.090306369792904,3.8424126042431945,7.932718974036098,1.4189,4.090306369792904,3.842412604243195,7.941805444016328,0.0001174934585304242,0.0001174934585304242,0.00010318261162757837,0.00010318261162757837,0.00022067607015800256,0.00022067607015800256,0.00022067607015800256,0.00022067607015800256,0.00022067607015800256,0.0001174934585304242,0.00010318261162757837,0.001596205214374806,0.0005,1.1296656608276645,1.1322525454447672,1.1270787762105619,0.43182301049087757,0.39208406043373056,0.4715619605480246,1.9854923080020925,10.013843601953889,0.43182301049087757,0.43182301049087757,0.43182301049087757,-0.001596205214374806,0.002,0.9916601875775155,0.9972881200851901
4,es,-0.016814145879562484,1,4.120115082271511,4.023029886076769,8.14314496834828,1.4189,4.120115082271511,4.023029886076769,8.047018441172419,3.18998085785976e-06,3.18998085785976e-06,0.00010958896013740773,0.00010958896013740773,0.00011277894099526749,0.00011277894099526749,0.00011277894099526749,0.00011277894099526749,0.00011277894099526749,3.18998085785976e-06,0.00010958896013740773,-0.0029932891032036064,0.0005,1.1431033818817884,1.1421400562633368,1.14406670750024,0.47197091438984806,0.4507775649615642,0.49316426381813194,2.0012016081390813,10.014038493802332,0.47197091438984806,0.47197091438984806,0.47197091438984806,0.0029932891032036064,0.002,0.9965489825354485,0.9966776436848352
5,es,0.02513751037539448,1,3.970957689192883,4.069945410951028,8.040903100143911,1.4189,3.970957689192883,4.0699454109510285,7.995897507070234,0.00033791376382088145,0.00033791376382088145,0.0008436693635199984,0.0008436693635199984,0.00118158312734088,0.00118158312734088,0.00118158312734088,0.00118158312734088,0.00118158312734088,0.00033791376382088145,0.0008436693635199984,0.021805259987226048,0.0005,1.1184600705099839,1.1258828767720857,1.1110372642478823,0.4553637792503187,0.4700738567467653,0.4406537017538721,2.019460838356109,10.036185629760887,0.4553637792503187,0.4553637792503187,0.4553637792503187,-0.021805259987226048,0.002,0.9829630558850118,0.9862849869964779
6,es,0.044884101057839076,1,4.033916184511384,4.045247471419554,8.079163655930937,1.4189,4.033916184511384,4.045247471419554,8.015027784963747,9.722027259712754e-05,9.722027259712754e-05,0.00023310784745326837,0.00023310784745326837,0.0003303281200503959,0.0003303281200503959,0.0003303281200503959,0.0003303281200503959,0.0003303281200503959,9.722027259712754e-05,0.00023310784745326837,0.0031529579287283365,0.0005,1.1274470999081063,1.137771056421824,1.117123143394389,0.4662963057130911,0.4681637683952111,0.4644288430309711,2.0083431758967616,10.017533483466783,0.4662963057130911,0.4662963057130911,0.4662963057130911,-0.0031529579287283365,0.002,1.0028363744663276,0.9911027545201393
7,es,0.001865154944746901,1,4.045424126835624,3.962032541714292,8.007456668549917,1.4189,4.0454241268356235,3.9620325417142914,7.979174291273236,4.5169796453362335e-05,4.5169796453362335e-05,6.326327740939009e-05,6.326327740939009e-05,0.00010843307386275243,0.00010843307386275243,0.00010843307386275243,0.00010843307386275243,0.00010843307386275243,4.5169796453362335e-05,6.326327740939009e-05,0.013578356054485102,0.0005,1.1364702488597902,1.1453000321670475,1.127640465552533,0.45745507222077375,0.4448522673376978,0.4700578771038497,2.002048192974229,10.010773379901625,0.45745507222077375,0.45745507222077375,0.45745507222077375,-0.013578356054485102,0.002,0.9884660738102737,1.0022881010537223
8,es,0.006791934421249339,1,4.0888106141922895,3.954280505713665,8.043091119905954,1.4189,4.088810614192289,3.954280505713665,7.9969915169512555,3.343069930681071e-05,3.343069930681071e-05,0.0005773691900410106,0.0005773691900410106,0.0006107998893478213,0.0006107998893478213,0.0006107998893478213,0.0006107998893478213,0.0006107998893478213,3.343069930681071e-05,0.0005773691900410106,-0.001972605041800955,0.0005,1.132237189408803,1.139755600779321,1.124718778038285,0.4560542111573427,0.42784637988695806,0.4842620424277273,1.9929768653245425,10.01093857918849,0.4560542111573427,0.4560542111573427,0.4560542111573427,0.001972605041800955,0.002,0.99208451294593,0.9773373226982921
9,es,-0.0030047548222652013,1,4.0516153207430925,4.0472198207298495,8.098835141472943,1.4189,4.0516153207430925,4.04721982072985,8.02486352773475,0.00012468755646100635,0.00012468755646100635,2.6795728857553186e-05,2.6795728857553186e-05,0.00015148328531855952,0.00015148328531855952,0.00015148328531855952,0.00015148328531855952,0.00015148328531855952,0.00012468755646100635,2.6795728857553186e-05,0.027485900059711552,0.0005,1.1382154786400411,1.1334037787208644,1.1430271785592179,0.47503239002816233,0.4769080387886202,0.47315674126770446,1.9966743105973817,9.998832795464544,0.47503239002816233,0.47503239002816233,0.47503239002816233,-0.027485900059711552,0.002,1.0058658260490176,0.9948940228723395
10,es,-0.0004275366396213676,1,4.0059148356187695,4.124736366632412,8.130651202251181,1.4189,4.0059148356187695,4.124736366632412,8.040771558123868,0.00027672854387925523,0.00027672854387925523,2.3438873793126235e-05,2.3438873793126235e-05,0.00030016741767238144,0.00030016741767238144,0.00030016741767238144,0.00030016741767238144,0.00030016741767238144,0.00027672854387925523,2.3438873793126235e-05,0.013082519916270935,0.0005,1.1367709619535793,1.1327139830104778,1.1408279408966806,0.47253943041326973,0.4940088725630982,0.45106998826344125,2.0146514228200165,10.003015945793805,0.47253943041326973,0.47253943041326973,0.47253943041326973,-0.013082519916270935,0.002,1.0079237589951169,1.0043496265016283
11,es,-0.014827733336329706,1,4.11210704779448,4.047264060777622,8.159371108572103,1.4189,4.112107047794479,4.047264060777623,8.05513151128433,0.00017156770169285857,0.00017156770169285857,0.00011816842655561852,0.00011816842655561852,0.00028973612824847707,0.00028973612824847707,0.00028973612824847707,0.00028973612824847707,0.00028973612824847707,0.00017156770169285857,0.00011816842655561852,0.006234747479473386,0.0005,1.1398720383267742,1.1379625680015253,1.1417815086520229,0.47646058335402186,0.4642250737789766,0.4886960929290671,2.014512238360187,10.014703265871253,0.47646058335402186,0.47646058335402186,0.47646058335402186,-0.006234747479473386,0.002,1.0030325528626676,1.0031760142568606
12,es,-0.014178103071531865,1,3.999202045227134,4.061540639179253,8.060742684406387,1.4189,3.999202045227134,4.061540639179253,8.005817299201471,0.00012594293227393886,0.00012594293227393886,0.00010146988791790515,0.00010146988791790515,0.000227412820191844,0.000227412820191844,0.000227412820191844,0.000227412820191844,0.000227412820191844,0.00012594293227393886,0.00010146988791790515,0.018021072694192678,0.0005,1.1366395216933771,1.1278708798686996,1.1454081635180544,0.4637837117299801,0.4786867442990994,0.44888067916086083,1.9995645013707144,10.014183486554446,0.4637837117299801,0.4637837117299801,0.4637837117299801,-0.018021072694192678,0.002,0.9838464104389345,0.9990592742688937
13,es,-0.01608864774578842,1,4.06123116016715,4.016713793511238,8.077944953678388,1.4189,4.06123116016715,4.016713793511238,8.014418433837474,0.00011346541081155818,0.00011346541081155818,0.0013633876226156927,0.0013633876226156927,0.001476853033427251,0.001476853033427251,0.001476853033427251,0.001476853033427251,0.001476853033427251,0.00011346541081155818,0.0013633876226156927,0.027511467037055714,0.0005,1.1471036441699716,1.1543863436476343,1.1398209446923087,0.46561839768894187,0.45710312793695884,0.4741336674409249,1.9874263627170563,10.042739220987324,0.46561839768894187,0.46561839768894187,0.46561839768894187,-0.027511467037055714,0.002,0.9892238308227725,1.0212892923024406
14,es,0.02807378481418453,1,4.0577618862323614,4.013279023061685,8.071040909294046,1.4189,4.0577618862323614,4.013279023061685,8.010966411645303,0.0001055650544270976,0.0001055650544270976,0.0011130329666833947,0.0011130329666833947,0.0012185980211104923,0.0012185980211104923,0.0012185980211104923,0.0012185980211104923,0.0012185980211104923,0.0001055650544270976,0.0011130329666833947,-0.0012154579504225053,0.0005,1.1161121084010461,1.115447770616053,1.116776446186039,0.4594293871325239,0.4492065121890887,0.4696522620759591,1.9899117555194956,10.042266209733626,0.4594293871325239,0.4594293871325239,0.4594293871325239,0.0012154579504225053,0.002,0.9876735960823807,0.9852105667027531
15,es,0.015559209200033527,1,4.061712344856879,3.9821375609101533,8.043849905767033,1.4189,4.061712344856879,3.9821375609101533,7.997370909881795,6.524227781805204e-07,6.524227781805204e-07,0.00021244607387842842,0.00021244607387842842,0.00021309849665660893,0.00021309849665660893,0.00021309849665660893,0.00021309849665660893,0.00021309849665660893,6.524227781805204e-07,0.00021244607387842842,0.02239204458543753,0.0005,1.122134075743338,1.1247894847262512,1.1194786667604248,0.45074267729556894,0.43220250991323717,0.4692828446779007,1.9993106570230745,10.00634868211418,0.45074267729556894,0.45074267729556894,0.45074267729556894,-0.02239204458543753,0.002,0.9943477387857569,0.9861651794817718
16,es,0.013691603872796295,1,3.995855411362592,3.9785893245564288,7.974444735919021,1.4189,3.995855411362592,3.9785893245564288,7.962668324957789,5.141433208255551e-05,5.141433208255551e-05,0.00018863882543813116,0.00018863882543813116,0.00024005315752068665,0.00024005315752068665,0.00024005315752068665,0.00024005315752068665,0.00024005315752068665,5.141433208255551e-05,0.00018863882543813116,0.03548475335902077,0.0005,1.1347984784121203,1.1445470886058713,1.1250498682183694,0.43658417431576213,0.4294868637715421,0.44368148485998216,2.00856483068113,10.019422346060185,0.43658417431576213,0.43658417431576213,0.43658417431576213,-0.03548475335902077,0.002,0.9912184797638784,0.999838565854039
17,es,-0.018153738392070563,1,4.029855402543477,4.053641695916952,8.08349709846043,1.4189,4.029855402543477,4.053641695916953,8.017194506228494,0.0005918486308584559,0.0005918486308584559,0.00031499371503826407,0.00031499371503826407,0.0009068423458967201,0.0009068423458967201,0.0009068423458967201,0.0009068423458967201,0.0009068423458967201,0.0005918486308584559,0.00031499371503826407,0.016175379475993627,0.0005,1.1323712059533102,1.12550792222812,1.1392344896785005,0.4658624586242879,0.46821056157609675,0.463514355672479,2.018617571236636,10.009936484077485,0.4658624586242879,0.4658624586242879,0.4658624586242879,-0.016175379475993627,0.002,0.9747438741435286,0.983746418987042
18,es,-0.001488056972194909,1,4.0291266655569835,4.058145944215873,8.087272609772857,1.4189,4.0291266655569835,4.058145944215873,8.019082261884707,0.0002874162048543715,0.0002874162048543715,0.000603165938708418,0.000603165938708418,0.0008905821435627895,0.0008905821435627895,0.0008905821435627895,0.0008905821435627895,0.0008905821435627895,0.0002874162048543715,0.000603165938708418,0.010020068346456324,0.0005,1.1411330041394145,1.1439175840783449,1.1383484242004844,0.4713337214613551,0.4756271792588205,0.46704026366388973,1.9837280701531752,10.034732305308514,0.4713337214613551,0.4713337214613551,0.4713337214613551,-0.010020068346456324,0.002,1.0073479393190596,1.0000205740753205
19,es,0.019262343970101133,1,4.05778895831402,4.081208611068083,8.138997569382102,1.4189,4.057788958314019,4.081208611068083,8.04494474168933,0.000253710373210653,0.000253710373210653,0.00012518132231951839,0.00012518132231951839,0.0003788916955301714,0.0003788916955301714,0.0003788916955301714,0.0003788916955301714,0.0003788916955301714,0.000253710373210653,0.00012518132231951839,0.01416203360607586,0.0005,1.131033262796009,1.1284474554420512,1.1336190701499669,0.47816796187317445,0.4812807223015261,0.4750552014448228,1.9804884302383872,10.010402398047052,0.47816796187317445,0.47816796187317445,0.47816796187317445,-0.01416203360607586,0.002,1.0027965470344355,0.9915811394034117
20,es,0.012921487782916229,1,4.039162771574277,4.024465167864757,8.063627939439034,1.4189,4.039162771574276,4.024465167864758,8.007259926717795,0.0003471997263727626,0.0003471997263727626,0.0008894920685893192,0.0008894920685893192,0.0012366917949620817,0.0012366917949620817,0.0012366917949620817,0.0012366917949620817,0.0012366917949620817,0.0003471997263727626,0.0008894920685893192,-0.002589361776631119,0.0005,1.1322635667423682,1.1211788871129673,1.1433482463717692,0.4608507100401038,0.4582925913229605,0.4634088287572471,1.9832388077786807,9.991269574523344,0.4608507100401038,0.4608507100401038,0.4608507100401038,0.002589361776631119,0.002,1.0092782486084995,0.9709648194930892
