epoch,phase,correlation,dim,entropy_x1,entropy_x2,h_independent_joint,h_theoretical,h_x1_given_x2,h_x2_given_x1,joint_entropy,kl_div_1,kl_div_1_per_dim,kl_div_2,kl_div_2_per_dim,kl_div_total,kl_marginals_per_dim_sum,kl_per_dim_sum,kl_sum_per_dim,kl_total_over_dims,kl_x1_per_dim,kl_x2_per_dim,loss,lr,mae,mae_x1_to_x2,mae_x2_to_x1,mi_gen_gen,mi_x1_to_x2,mi_x2_to_x1,mu1_learned,mu2_learned,mutual_information,mutual_information_per_dim,mutual_information_true_gen_proxy,obj_base,sigma,std1_learned,std2_learned
0,initial,-0.010230390392579232,1,4.041875116491568,4.028034598949926,8.069909715441494,1.4189,4.041875116491568,4.028034598949926,8.010400814719025,3.619530557009746e-06,3.619530557009746e-06,0.0002411796527737132,0.0002411796527737132,0.00024479918333072297,0.00024479918333072297,0.00024479918333072297,0.00024479918333072297,0.00024479918333072297,3.619530557009746e-06,0.0002411796527737132,0.0,0.0005,1.1515929698944092,1.150264859199524,1.1529210805892944,0.46599852271788755,0.4563143307529387,0.4756827146828364,2.002626657485962,10.02104663848877,0.46599852271788755,0.46599852271788755,0.46599852271788755,,0.001,0.9953537583351135,1.004441738128662
1,es,-0.02037883659025998,1,4.075148402068124,4.102721581994143,8.177869984062268,1.4189,4.075148402068123,4.102721581994144,8.064380949029413,0.0002498133925386191,0.0002498133925386191,0.00017393638678144752,0.00017393638678144752,0.00042374977932006666,0.00042374977932006666,0.00042374977932006666,0.00042374977932006666,0.00042374977932006666,0.0002498133925386191,0.00017393638678144752,0.006797182496287096,0.0005,1.1349284866011966,1.1289771624901315,1.140879810712262,0.48916984998872337,0.4915872657392715,0.48675243423817527,1.979462341944728,10.013748812176084,0.48916984998872337,0.48916984998872337,0.48916984998872337,-0.006797182496287096,0.001,1.001028304303797,0.9911013480148086
2,es,0.009773574456855092,1,4.005334625284639,4.022932465228628,8.028267090513268,1.4189,4.005334625284638,4.022932465228628,7.989579502254911,3.744076388659979e-05,3.744076388659979e-05,0.00014734688585514097,0.00014734688585514097,0.00018478764974174078,0.00018478764974174078,0.00018478764974174078,0.00018478764974174078,0.00018478764974174078,3.744076388659979e-05,0.00014734688585514097,-0.0056363100040733105,0.0005,1.1361161966181885,1.1405460141875057,1.1316863790488714,0.4542527686468514,0.45335323681380046,0.4551523004799023,1.992045107318047,10.016540985239532,0.4542527686468514,0.4542527686468514,0.4542527686468514,0.0056363100040733105,0.001,0.992658712278272,0.9967543313737619
3,es,0.01988257550176232,1,4.090306369792904,3.8424126042431945,7.932718974036098,1.4189,4.090306369792904,3.842412604243195,7.941805444016328,0.00011757932657641338,0.00011757932657641338,0.0001032350857292331,0.0001032350857292331,0.0002208144123056465,0.0002208144123056465,0.0002208144123056465,0.0002208144123056465,0.0002208144123056465,0.00011757932657641338,0.0001032350857292331,0.001596168116900877,0.0005,1.129665956424732,1.132253618556077,1.127078294293387,0.43182301049087757,0.39208406043373056,0.4715619605480246,1.9854869078162933,10.013848083834803,0.43182301049087757,0.43182301049087757,0.43182301049087757,-0.001596168116900877,0.001,0.9916591899942198,0.9972898848068626
4,es,-0.01681412740584183,1,4.120115082271511,4.023056395889234,8.143171478160745,1.4189,4.120115082271511,4.023056395889235,8.047031696078651,3.2068990622568318e-06,3.2068990622568318e-06,0.00010964923092618473,0.00010964923092618473,0.00011285612998844157,0.00011285612998844157,0.00011285612998844157,0.00011285612998844157,0.00011285612998844157,3.2068990622568318e-06,0.00010964923092618473,-0.0029932038869138014,0.0005,1.1431057149020265,1.1421410248956056,1.1440704049084474,0.47195890214215996,0.450753540466188,0.49316426381813194,2.001198703588812,10.014043573231742,0.47195890214215996,0.47195890214215996,0.47195890214215996,0.0029932038869138014,0.001,0.9965554533567004,0.9966793042571581
5,es,0.02513761370036861,1,3.970957689192883,4.069945410951028,8.040903100143911,1.4189,3.970957689192883,4.0699454109510285,7.995897507070234,0.00033765864786401017,0.00033765864786401017,0.0008438358970947434,0.0008438358970947434,0.0011814945449587534,0.0011814945449587534,0.0011814945449587534,0.0011814945449587534,0.0011814945449587534,0.00033765864786401017,0.0008438358970947434,0.02180521217980487,0.0005,1.118462267207775,1.1258837836901003,1.1110407507254498,0.4553637792503187,0.4700738567467653,0.4406537017538721,2.0194560449572854,10.036191304896773,0.4553637792503187,0.4553637792503187,0.4553637792503187,-0.02180521217980487,0.001,0.9829696411712696,0.9862863932910061
6,es,0.04488410872975662,1,4.033916184511384,4.045247471419554,8.079163655930937,1.4189,4.033916184511384,4.045247471419554,8.015027784963747,9.729797611700457e-05,9.729797611700457e-05,0.00023312281938301152,0.00023312281938301152,0.0003304207955000161,0.0003304207955000161,0.0003304207955000161,0.0003304207955000161,0.0003304207955000161,9.729797611700457e-05,0.00023312281938301152,0.0031526124084655226,0.0005,1.1274497586268328,1.137772221537287,1.117127295716379,0.4662963057130911,0.4681637683952111,0.4644288430309711,2.0083383056269244,10.017536468385082,0.4662963057130911,0.4662963057130911,0.4662963057130911,-0.0031526124084655226,0.001,1.00284388845926,0.9911048453892161
7,es,0.0018651665901127479,1,4.045424126835624,3.962032541714292,8.007456668549917,1.4189,4.0454241268356235,3.9620325417142914,7.979174291273236,4.506167805515321e-05,4.506167805515321e-05,6.329871348942085e-05,6.329871348942085e-05,0.00010836039154457407,0.00010836039154457407,0.00010836039154457407,0.00010836039154457407,0.00010836039154457407,4.506167805515321e-05,6.329871348942085e-05,0.01357819881662276,0.0005,1.1364730968004526,1.1453013645644237,1.1276448290364818,0.45745507222077375,0.4448522673376978,0.4700578771038497,2.002045937286119,10.01077570267813,0.45745507222077375,0.45745507222077375,0.45745507222077375,-0.01357819881662276,0.001,0.9884739053372859,1.002290377165842
8,es,0.006791869689091468,1,4.0888106141922895,3.954280505713665,8.043091119905954,1.4189,4.088810614192289,3.954280505713665,7.9969915169512555,3.336439674496086e-05,3.336439674496086e-05,0.0005773177304042506,0.0005773177304042506,0.0006106821271492115,0.0006106821271492115,0.0006106821271492115,0.0006106821271492115,0.0006106821271492115,3.336439674496086e-05,0.0005773177304042506,-0.001973103299123697,0.0005,1.1322398627002346,1.1397567562818596,1.1247229691186094,0.4560542111573427,0.42784637988695806,0.4842620424277273,1.9929799246241489,10.010942221950105,0.4560542111573427,0.4560542111573427,0.4560542111573427,0.001973103299123697,0.001,0.9920921176481788,0.9773393143068639
9,es,-0.003004803500313611,1,4.0516153207430925,4.0472198207298495,8.098835141472943,1.4189,4.0516153207430925,4.04721982072985,8.02486352773475,0.00012484880703904122,0.00012484880703904122,2.6768286674182723e-05,2.6768286674182723e-05,0.00015161709371322394,0.00015161709371322394,0.00015161709371322394,0.00015161709371322394,0.00015161709371322394,0.00012484880703904122,2.6768286674182723e-05,0.027485213985650486,0.0005,1.1382184305610477,1.1334050632911725,1.1430317978309228,0.47503239002816233,0.4769080387886202,0.47315674126770446,1.9966780344550077,9.998836333677117,0.47503239002816233,0.47503239002816233,0.47503239002816233,-0.027485213985650486,0.001,1.0058737724441735,0.9948963010008152
