epoch,phase,correlation,dim,entropy_x1,entropy_x2,h_independent_joint,h_theoretical,h_x1_given_x2,h_x2_given_x1,joint_entropy,kl_div_1,kl_div_1_per_dim,kl_div_2,kl_div_2_per_dim,kl_div_total,kl_marginals_per_dim_sum,kl_per_dim_sum,kl_sum_per_dim,kl_total_over_dims,kl_weight,kl_x1_per_dim,kl_x2_per_dim,loss,lr,mae,mae_x1_to_x2,mae_x2_to_x1,mi_gen_gen,mi_x1_to_x2,mi_x2_to_x1,mu1_learned,mu2_learned,mutual_information,mutual_information_per_dim,mutual_information_true_gen_proxy,ppo_clip,std1_learned,std2_learned
0,initial,-1.9606697715998656e-05,5,20.227839368901712,20.135671068218837,40.36351043712055,7.0945,0.0,0.0,14.18543922740965,0.000506876475033064,0.000506876475033064,0.0004149109936635453,0.0004149109936635453,0.0009217874686966093,0.0009217874686966093,0.0009217874686966093,0.0009217874686966093,0.004608937343483046,0.0001,0.000506876475033064,0.0004149109936635453,0.0,2e-05,1.132538914680481,1.1351808309555054,1.1298969984054565,0.480728163723636,0.47461046055094547,0.4868458668963266,2.0040602684020996,9.994026184082031,0.480728163723636,0.0961456327447272,0.480728163723636,0.05,0.9967085719108582,0.9946725964546204
1,ppo,0.012068064795523534,5,20.090523728673578,20.115628162963034,40.20615189163661,7.0945,0.0,0.0,14.188316197758539,0.001966693082380845,0.001966693082380845,0.00036364046730978227,0.00036364046730978227,0.002330333549690627,0.002330333549690627,0.002330333549690627,0.002330333549690627,0.011651667748453136,0.0001,0.001966693082380845,0.00036364046730978227,-3.2566183172377805e-07,2e-05,1.1257397532463074,1.125101089477539,1.1263784170150757,0.48074252926947614,0.48254437353536767,0.47894068500358455,1.9642517566680908,9.999346733093262,0.48074252926947614,0.09614850585389523,0.48074252926947614,0.05,0.9993531107902527,0.9928151369094849
2,ppo,0.004835045084207637,5,20.267359020589872,20.190017382121226,40.4573764027111,7.0945,0.0,0.0,14.175431229433165,0.0018187309143538547,0.0018187309143538547,0.0005601714096315721,0.0005601714096315721,0.0023789023239854266,0.0023789023239854266,0.0023789023239854266,0.0023789023239854266,0.011894511619927134,0.0001,0.0018187309143538547,0.0005601714096315721,-2.497760021924478e-07,2e-05,1.127389669418335,1.1271733045578003,1.1276060342788696,0.48461957416104406,0.47554290728466686,0.4936962410374212,1.954681158065796,10.00026798248291,0.48461957416104406,0.09692391483220882,0.48461957416104406,0.05,0.993884265422821,0.9931436777114868
3,ppo,-0.005255092347757633,5,20.276756153498482,19.96507833591184,40.24183448941032,7.0945,0.0,0.0,14.222456310171891,0.0009491956740646562,0.0009491956740646562,0.0017520779760508136,0.0017520779760508136,0.00270127365011547,0.00270127365011547,0.00270127365011547,0.00270127365011547,0.013506368250577348,0.0001,0.0009491956740646562,0.0017520779760508136,-2.605588953485949e-07,2e-05,1.1341907382011414,1.1332097053527832,1.1351717710494995,0.4803745709692303,0.4681727178254581,0.4925764241130025,1.99847412109375,10.04020881652832,0.4803745709692303,0.09607491419384606,0.4803745709692303,0.05,0.9961042404174805,1.0101239681243896
4,ppo,-0.004168440105990325,5,20.0707727331061,20.113129265136237,40.183901998242334,7.0945,0.0,0.0,14.20411520370066,0.0012558292838161992,0.0012558292838161992,0.0015061536951226564,0.0015061536951226564,0.002761982978938856,0.002761982978938856,0.002761982978938856,0.002761982978938856,0.01380991489469428,0.0001,0.0012558292838161992,0.0015061536951226564,-2.6545561278012996e-07,2e-05,1.1343516111373901,1.1385191679000854,1.1301840543746948,0.47244191843454886,0.4690426317659874,0.4758412051031103,2.0106799602508545,10.010480880737305,0.47244191843454886,0.09448838368690977,0.47244191843454886,0.05,0.99378502368927,1.0053211450576782
5,ppo,-0.008894237827636662,5,20.118489019969925,20.210745774377244,40.32923479434717,7.0945,0.0,0.0,14.246022267929185,0.0017931954291536844,0.0017931954291536844,0.00419964174134441,0.00419964174134441,0.005992837170498094,0.005992837170498094,0.005992837170498094,0.005992837170498094,0.02996418585249047,0.0001,0.0017931954291536844,0.00419964174134441,-2.979607601316658e-07,2e-05,1.139685571193695,1.146931767463684,1.132439374923706,0.47692479035032453,0.47687999484168364,0.4769695858589655,2.0248262882232666,10.02214241027832,0.47692479035032453,0.0953849580700649,0.47692479035032453,0.05,0.9942310452461243,1.0226366519927979
6,ppo,0.0016896396250610883,5,20.049760495252006,19.836498826153353,39.88625932140536,7.0945,0.0,0.0,14.256013920776002,0.0044786355907145406,0.0044786355907145406,0.0020932535602347017,0.0020932535602347017,0.006571889150949242,0.006571889150949242,0.006571889150949242,0.006571889150949242,0.03285944575474621,0.0001,0.0044786355907145406,0.0020932535602347017,-2.7764839929389493e-07,2e-05,1.137073814868927,1.14055597782135,1.133591651916504,0.4666901012389248,0.4561061690825536,0.477274033395296,1.992987036705017,10.017415046691895,0.4666901012389248,0.09333802024778495,0.4666901012389248,0.05,1.0021764039993286,1.0179954767227173
7,ppo,0.0062843043463497355,5,20.05989827351112,20.020807841365826,40.080706114876946,7.0945,0.0,0.0,14.216183251552621,0.003810273566747583,0.003810273566747583,0.004155377324893016,0.004155377324893016,0.0079656508916406,0.0079656508916406,0.0079656508916406,0.0079656508916406,0.039828254458203,0.0001,0.003810273566747583,0.004155377324893016,-2.6322445165760657e-07,2e-05,1.1286988258361816,1.1384756565093994,1.1189219951629639,0.4706793624573895,0.47100748577508755,0.47035123913969146,2.0075416564941406,9.989152908325195,0.4706793624573895,0.0941358724914779,0.4706793624573895,0.05,0.987084686756134,1.017499566078186
8,ppo,0.006770453723709553,5,20.18538716338063,20.27959069265223,40.46497785603286,7.0945,0.0,0.0,14.224556394814023,0.0034270227381060074,0.0034270227381060074,0.002950691681532097,0.002950691681532097,0.006377714419638104,0.006377714419638104,0.006377714419638104,0.006377714419638104,0.03188857209819052,0.0001,0.0034270227381060074,0.002950691681532097,-2.6316774750512193e-07,2e-05,1.1343274116516113,1.1441783905029297,1.124476432800293,0.47991627563439554,0.4844957834807898,0.47533676778800127,1.9884954690933228,10.010583877563477,0.47991627563439554,0.09598325512687911,0.47991627563439554,0.05,0.9844644665718079,1.02492356300354
9,ppo,-0.011338405815977802,5,20.2337812257612,20.203353587919267,40.437134813680466,7.0945,0.0,0.0,14.2142519538199,0.004046390461787239,0.004046390461787239,0.0028032195922111395,0.0028032195922111395,0.006849610053998379,0.006849610053998379,0.006849610053998379,0.006849610053998379,0.03424805026999189,0.0001,0.004046390461787239,0.0028032195922111395,-2.8557707345555625e-07,2e-05,1.1367161870002747,1.1374056339263916,1.1360267400741577,0.4830633505541094,0.48358820967754995,0.48253849143066885,1.9808801412582397,10.006806373596191,0.4830633505541094,0.09661267011082189,0.4830633505541094,0.05,0.9853883981704712,1.0210248231887817
