epoch,phase,correlation,dim,entropy_x1,entropy_x2,h_independent_joint,h_theoretical,h_x1_given_x2,h_x2_given_x1,joint_entropy,kl_div_1,kl_div_1_per_dim,kl_div_2,kl_div_2_per_dim,kl_div_total,kl_marginals_per_dim_sum,kl_per_dim_sum,kl_sum_per_dim,kl_total_over_dims,kl_weight,kl_x1_per_dim,kl_x2_per_dim,loss,lr,mae,mae_x1_to_x2,mae_x2_to_x1,mi_gen_gen,mi_x1_to_x2,mi_x2_to_x1,mu1_learned,mu2_learned,mutual_information,mutual_information_per_dim,mutual_information_true_gen_proxy,ppo_clip,std1_learned,std2_learned
0,initial,0.0006628362304985189,10,39.87470338550818,40.43058871391262,80.3052920994208,14.189,0.0,0.0,28.36586057180739,0.0002563217137732091,0.0002563217137732091,0.00047466131506115677,0.00047466131506115677,0.0007309830288343658,0.0007309830288343658,0.0007309830288343658,0.0007309830288343658,0.007309830288343658,0.0003,0.0002563217137732091,0.00047466131506115677,0.0,0.0001,1.1301172971725464,1.1331604719161987,1.127074122428894,0.47333917923438296,0.4829786018013504,0.4636997566674155,2.005974769592285,10.003518104553223,0.47333917923438296,0.047333917923438294,0.47333917923438296,0.1,0.9943698644638062,1.004083275794983
1,ppo,0.0019583276697769923,10,40.118263341910264,40.21870481905755,80.33696816096781,14.189,0.0,0.0,28.147666413245002,0.009981270246387636,0.009981270246387636,0.004361233081056065,0.004361233081056065,0.0143425033274437,0.0143425033274437,0.0143425033274437,0.0143425033274437,0.143425033274437,0.0003,0.009981270246387636,0.004361233081056065,-3.6120785694038206e-06,0.0001,1.1233499646186829,1.1288789510726929,1.1178209781646729,0.4745416101293083,0.4768256243170631,0.47225759594155353,1.9566271305084229,9.98797607421875,0.4745416101293083,0.04745416101293083,0.4745416101293083,0.1,0.9689788818359375,0.9960706830024719
2,ppo,0.0032342457201373085,10,40.37522031449171,40.26504388876036,80.64026420325207,14.189,0.0,0.0,28.237754565710127,0.0054943145338844646,0.0054943145338844646,0.005361136174660649,0.005361136174660649,0.010855450708545114,0.010855450708545114,0.010855450708545114,0.010855450708545114,0.10855450708545114,0.0003,0.0054943145338844646,0.005361136174660649,-3.3097662310410668e-06,0.0001,1.129608154296875,1.1284401416778564,1.1307761669158936,0.48275568930602464,0.48139665909442286,0.4841147195176264,1.9909589290618896,9.986342430114746,0.48275568930602464,0.04827556893060246,0.48275568930602464,0.1,0.9989806413650513,0.993301272392273
3,ppo,0.0003574903225635834,10,40.307228260908694,40.00481324018172,80.31204150109042,14.189,0.0,0.0,28.349177644333245,0.010321930377988318,0.010321930377988318,0.00404422004937534,0.00404422004937534,0.014366150427363658,0.014366150427363658,0.014366150427363658,0.014366150427363658,0.14366150427363658,0.0003,0.010321930377988318,0.00404422004937534,-3.030830589523248e-06,0.0001,1.1392951607704163,1.132192611694336,1.1463977098464966,0.4754197683482551,0.4704241013294557,0.4804154353670545,2.0404553413391113,9.989874839782715,0.4754197683482551,0.047541976834825514,0.4754197683482551,0.1,1.0158495903015137,1.0033138990402222
4,ppo,0.0048485804207969545,10,40.14907842084903,40.30392765734105,80.45300607819007,14.189,0.0,0.0,28.230478538235992,0.02118982486623223,0.02118982486623223,0.005585824212750848,0.005585824212750848,0.02677564907898308,0.02677564907898308,0.02677564907898308,0.02677564907898308,0.26775649078983077,0.0003,0.02118982486623223,0.005585824212750848,-3.205289215202356e-06,0.0001,1.1351903080940247,1.1290233135223389,1.1413573026657104,0.4772821370812923,0.4794405470235238,0.4751237271390608,2.0788722038269043,9.968273162841797,0.4772821370812923,0.04772821370812923,0.4772821370812923,0.1,1.0052993297576904,0.994260311126709
5,ppo,-0.00556316920445501,10,40.4672260233016,40.2310151916456,80.69824121494719,14.189,0.0,0.0,28.46332791352446,0.017567692130472722,0.017567692130472722,0.011978359047423736,0.011978359047423736,0.029546051177896458,0.029546051177896458,0.029546051177896458,0.029546051177896458,0.2954605117789646,0.0003,0.017567692130472722,0.011978359047423736,-3.2789606507321876e-06,0.0001,1.1523218154907227,1.1449841260910034,1.159659504890442,0.4772821376629313,0.47502787949546843,0.4795363958303942,2.056856632232666,9.989446640014648,0.4772821376629313,0.04772821376629313,0.4772821376629313,0.1,1.034430742263794,1.0196242332458496
6,ppo,-0.0002786162216206273,10,40.311531245631876,40.1449137320648,80.45644497769668,14.189,0.0,0.0,28.557800618884844,0.013038495671269582,0.013038495671269582,0.013709403265080165,0.013709403265080165,0.026747898936349747,0.026747898936349747,0.026747898936349747,0.026747898936349747,0.26747898936349745,0.0003,0.013038495671269582,0.013709403265080165,-3.203230875215013e-06,0.0001,1.1546971201896667,1.1571861505508423,1.1522080898284912,0.48001713032694754,0.47497229985350076,0.4850619608003943,2.019857883453369,9.992067337036133,0.48001713032694754,0.04800171303269475,0.48001713032694754,0.1,1.0249062776565552,1.0432555675506592
7,ppo,0.002268054506680002,10,40.48279406872986,40.366336103333616,80.84913017206347,14.189,0.0,0.0,28.59125366873086,0.015651296049605416,0.015651296049605416,0.010114792560034749,0.010114792560034749,0.025766088609640164,0.025766088609640164,0.025766088609640164,0.025766088609640164,0.25766088609640164,0.0003,0.015651296049605416,0.010114792560034749,-2.8740457537423937e-06,0.0001,1.1540710926055908,1.1582132577896118,1.1499289274215698,0.48189524448297805,0.47843910358067204,0.48535138538528405,2.0348079204559326,9.956957817077637,0.48189524448297805,0.048189524448297806,0.48189524448297805,0.1,1.0268982648849487,1.0491087436676025
8,ppo,0.011011204815587376,10,40.15061885354283,40.69951141635098,80.85013026989381,14.189,0.0,0.0,28.599826220853636,0.02360106444028796,0.02360106444028796,0.017051377705477388,0.017051377705477388,0.04065244214576535,0.04065244214576535,0.04065244214576535,0.04065244214576535,0.4065244214576535,0.0003,0.02360106444028796,0.017051377705477388,-2.672079369858693e-06,0.0001,1.156190812587738,1.1629688739776611,1.149412751197815,0.4824081320268675,0.48987555144637945,0.4749407126073556,2.0259737968444824,9.961542129516602,0.4824081320268675,0.04824081320268675,0.4824081320268675,0.1,1.0265145301818848,1.0554463863372803
9,ppo,-0.0040505824267173815,10,40.40706419481549,40.2428147032375,80.64987889805299,14.189,0.0,0.0,28.52356332757757,0.016066303740342965,0.016066303740342965,0.007257749952793521,0.007257749952793521,0.023324053693136487,0.023324053693136487,0.023324053693136487,0.023324053693136487,0.23324053693136487,0.0003,0.016066303740342965,0.007257749952793521,-2.8135157521091967e-06,0.0001,1.1514552235603333,1.1504125595092773,1.1524978876113892,0.4776309036954077,0.4738373847754994,0.48142442261531604,2.0241329669952393,9.971793174743652,0.4776309036954077,0.047763090369540774,0.4776309036954077,0.1,1.0186454057693481,1.0398075580596924
