epoch,phase,correlation,dim,entropy_x1,entropy_x2,h_independent_joint,h_theoretical,h_x1_given_x2,h_x2_given_x1,joint_entropy,kl_div_1,kl_div_1_per_dim,kl_div_2,kl_div_2_per_dim,kl_div_total,kl_marginals_per_dim_sum,kl_per_dim_sum,kl_sum_per_dim,kl_total_over_dims,kl_weight,kl_x1_per_dim,kl_x2_per_dim,loss,lr,mae,mae_x1_to_x2,mae_x2_to_x1,mi_gen_gen,mi_x1_to_x2,mi_x2_to_x1,mu1_learned,mu2_learned,mutual_information,mutual_information_per_dim,mutual_information_true_gen_proxy,ppo_clip,std1_learned,std2_learned
0,initial,-0.007098071446573417,1,3.996585342089081,4.029528152644293,8.026113494733373,1.4189,3.9965853420890802,4.029528152644293,8.063672320391293,0.00037320480257649086,0.00037320480257649086,0.0012770009714999618,0.0012770009714999618,0.0016502057740764528,0.0016502057740764528,0.0016502057740764528,0.0016502057740764528,0.0016502057740764528,0.0003,0.00037320480257649086,0.0012770009714999618,0.0,0.0001,1.11964350938797,1.114833950996399,1.124453067779541,0.4896958846659114,0.4975348093853924,0.4818569599464304,1.9842230081558228,10.050532341003418,0.4896958846659114,0.4896958846659114,0.4896958846659114,0.02,1.0106812715530396,0.9995073676109314
1,ppo,0.0013499467722251444,1,3.9084734385935027,4.019369499128789,7.927842937722292,1.4189,3.9084734385935027,4.019369499128789,8.014537041885752,0.0006457112847258883,0.0006457112847258883,0.0018358848679166364,0.0018358848679166364,0.0024815961526425245,0.0024815961526425245,0.0024815961526425245,0.0024815961526425245,0.0024815961526425245,0.0003,0.0006457112847258883,0.0018358848679166364,-3.8799398716093946e-08,0.0001,1.1262128353118896,1.1298843622207642,1.1225413084030151,0.4657914594282717,0.5002166557502736,0.4313662631062698,1.9660733938217163,10.042634010314941,0.4657914594282717,0.4657914594282717,0.4657914594282717,0.02,1.002982258796692,1.0306005477905273
2,ppo,0.015158264277794932,1,4.0457015819818665,3.983122988302122,8.028824570283989,1.4189,4.0457015819818665,3.9831229883021226,8.065027858166602,0.0014844213957963324,0.0014844213957963324,0.00393001106727179,0.00393001106727179,0.005414432463068122,0.005414432463068122,0.005414432463068122,0.005414432463068122,0.005414432463068122,0.0003,0.0014844213957963324,0.00393001106727179,-6.190937170691413e-08,0.0001,1.1006053686141968,1.0750285387039185,1.126182198524475,0.49398472831243545,0.49507290899011736,0.49289654763475355,1.9942415952682495,10.002219200134277,0.49398472831243545,0.49398472831243545,0.49398472831243545,0.02,1.0333459377288818,0.9379982948303223
3,ppo,0.014801478815228199,1,4.1481254856469425,4.012355544508304,8.160481030155246,1.4189,4.148125485646943,4.012355544508303,8.13085608810223,0.005788105820590074,0.005788105820590074,0.00900722289936336,0.00900722289936336,0.014795328719953434,0.014795328719953434,0.014795328719953434,0.014795328719953434,0.014795328719953434,0.0003,0.005788105820590074,0.00900722289936336,-5.449650545621965e-08,0.0001,1.1118854880332947,1.0847597122192383,1.139011263847351,0.5140081222454387,0.4997311944447729,0.5282850500461045,1.9534692764282227,10.090113639831543,0.5140081222454387,0.5140081222454387,0.5140081222454387,0.02,1.0639222860336304,0.9305092692375183
4,ppo,0.01893764387890009,1,3.9865275937516294,4.024636139399077,8.011163733150706,1.4189,3.98652759375163,4.024636139399078,8.05619743959996,0.00038955324132764494,0.00038955324132764494,0.0010616528102985149,0.0010616528102985149,0.0014512060516261598,0.0014512060516261598,0.0014512060516261598,0.0014512060516261598,0.0014512060516261598,0.0003,0.00038955324132764494,0.0010616528102985149,-4.838672706952707e-08,0.0001,1.1103078722953796,1.102851152420044,1.1177645921707153,0.4805502363472649,0.4911388603838205,0.4699616123107093,2.0173280239105225,10.036392211914062,0.4805502363472649,0.4805502363472649,0.4805502363472649,0.02,1.010373592376709,0.9800806045532227
5,ppo,0.010610571727748675,1,4.042199778254122,4.044854278228112,8.087054056482234,1.4189,4.042199778254123,4.044854278228112,8.094142601265723,0.0025636275767536064,0.0025636275767536064,0.0020296675124946637,0.0020296675124946637,0.00459329508924827,0.00459329508924827,0.00459329508924827,0.00459329508924827,0.00459329508924827,0.0003,0.0025636275767536064,0.0020296675124946637,-5.027600011309197e-08,0.0001,1.1290168762207031,1.1258114576339722,1.132222294807434,0.48721026282212243,0.5051731827566561,0.46924734288758874,2.0482070446014404,10.063451766967773,0.48721026282212243,0.48721026282212243,0.48721026282212243,0.02,1.0323100090026855,1.004077672958374
6,ppo,0.014883538145725543,1,4.020067176518186,3.978675646371291,7.9987428228894775,1.4189,4.020067176518186,3.9786756463712916,8.049986984469346,0.001102270799681062,0.001102270799681062,0.0023364684833425816,0.0023364684833425816,0.0034387392830236437,0.0034387392830236437,0.0034387392830236437,0.0034387392830236437,0.0034387392830236437,0.0003,0.001102270799681062,0.0023364684833425816,-3.45017435607331e-08,0.0001,1.1250726580619812,1.1240726709365845,1.126072645187378,0.4819162670896584,0.485394752339114,0.4784377818402028,1.9727290868759155,10.068326950073242,0.4819162670896584,0.4819162670896584,0.4819162670896584,0.02,1.0219284296035767,0.9985228776931763
7,ppo,-0.015194536303168336,1,4.081823943187333,4.014243275219503,8.096067218406835,1.4189,4.081823943187333,4.014243275219503,8.098649182228023,0.003995673770265506,0.003995673770265506,0.004375295244969806,0.004375295244969806,0.008370969015235312,0.008370969015235312,0.008370969015235312,0.008370969015235312,0.008370969015235312,0.0003,0.003995673770265506,0.004375295244969806,-5.174993232270886e-08,0.0001,1.1311408877372742,1.1064273118972778,1.1558544635772705,0.4939028670397514,0.4978022916793705,0.49000344240013227,1.987857460975647,10.092672348022461,0.4939028670397514,0.4939028670397514,0.4939028670397514,0.02,1.0579299926757812,0.9910017251968384
8,ppo,-0.02079493262668313,1,4.0334051927444285,3.9968137072363543,8.030218899980783,1.4189,4.0334051927444285,3.9968137072363543,8.065725023014998,0.003587974699245367,0.003587974699245367,0.0029078701882286817,0.0029078701882286817,0.006495844887474049,0.006495844887474049,0.006495844887474049,0.006495844887474049,0.006495844887474049,0.0003,0.003587974699245367,0.0029078701882286817,-4.129110752482124e-08,0.0001,1.1311201453208923,1.1027511358261108,1.1594891548156738,0.48808838099507224,0.48457760733234245,0.491599154657802,2.053109884262085,10.076109886169434,0.48808838099507224,0.48808838099507224,0.48808838099507224,0.02,1.041619896888733,0.9966087937355042
9,ppo,-0.0027624979186002614,1,4.0535296957163265,3.9299150563539804,7.983444752070307,1.4189,4.0535296957163265,3.9299150563539804,8.04233794905976,0.0014074987687121856,0.0014074987687121856,0.0022840155159501185,0.0022840155159501185,0.003691514284662304,0.003691514284662304,0.003691514284662304,0.003691514284662304,0.003691514284662304,0.0003,0.0014074987687121856,0.0022840155159501185,-2.4142850946207163e-08,0.0001,1.1181167960166931,1.0924992561340332,1.143734335899353,0.46921538415818365,0.45593282678238367,0.4824979415339836,2.0224621295928955,10.060033798217773,0.46921538415818365,0.46921538415818365,0.46921538415818365,0.02,1.0289573669433594,0.9781267046928406
