epoch,phase,correlation,dim,entropy_x1,entropy_x2,h_independent_joint,h_theoretical,h_x1_given_x2,h_x2_given_x1,joint_entropy,kl_div_1,kl_div_1_per_dim,kl_div_2,kl_div_2_per_dim,kl_div_total,kl_marginals_per_dim_sum,kl_per_dim_sum,kl_sum_per_dim,kl_total_over_dims,kl_weight,kl_x1_per_dim,kl_x2_per_dim,loss,lr,mae,mae_x1_to_x2,mae_x2_to_x1,mi_gen_gen,mi_x1_to_x2,mi_x2_to_x1,mu1_learned,mu2_learned,mutual_information,mutual_information_per_dim,mutual_information_true_gen_proxy,ppo_clip,std1_learned,std2_learned
0,initial,-0.002450214521612557,2,8.116803540904584,8.016425091713824,16.13322863261841,2.8378,0.0,0.0,5.688630185885596,0.0008451463586624055,0.0008451463586624055,0.0009879191289691163,0.0009879191289691163,0.0018330654876315218,0.0018330654876315218,0.0018330654876315218,0.0018330654876315218,0.0036661309752630436,0.003,0.0008451463586624055,0.0009879191289691163,0.0,0.0001,1.1304723620414734,1.1250449419021606,1.1358997821807861,0.4770708536533803,0.4679247475767938,0.4862169597299668,1.9804580211639404,10.039931297302246,0.4770708536533803,0.23853542682669016,0.4770708536533803,0.02,1.0070922374725342,0.9970714449882507
1,ppo,0.010361685220779973,2,7.9976306352283375,8.062302072136525,16.05993270736486,2.8378,0.0,0.0,5.689737395667617,0.0021221421589841727,0.0021221421589841727,0.0003316979781948179,0.0003316979781948179,0.0024538401371789905,0.0024538401371789905,0.0024538401371789905,0.0024538401371789905,0.004907680274357981,0.003,0.0021221421589841727,0.0003316979781948179,-9.982697926069762e-08,0.0001,1.1337741613388062,1.1370928287506104,1.130455493927002,0.4812044195308127,0.4836491561279166,0.47875968293370885,1.9538406133651733,10.014137268066406,0.4812044195308127,0.24060220976540636,0.4812044195308127,0.02,0.9980069994926453,1.0076762437820435
2,ppo,-0.004335582242414123,2,8.067260904002861,8.105505700783873,16.172766604786734,2.8378,0.0,0.0,5.678983046391915,0.0017490452185142343,0.0017490452185142343,0.0008852128360750662,0.0008852128360750662,0.0026342580545893005,0.0026342580545893005,0.0026342580545893005,0.0026342580545893005,0.005268516109178601,0.003,0.0017490452185142343,0.0008852128360750662,-1.0916115722320318e-07,0.0001,1.1301315426826477,1.1200398206710815,1.1402232646942139,0.4891957548458492,0.48496679988951596,0.49342470980218245,1.9817594289779663,10.0322265625,0.4891957548458492,0.2445978774229246,0.4891957548458492,0.02,1.0088964700698853,0.9865971803665161
3,ppo,-0.011184726173883287,2,8.198569122102011,7.896472343373498,16.09504146547551,2.8378,0.0,0.0,5.719673698199037,0.0010648212438456777,0.0010648212438456777,0.002050133762401511,0.002050133762401511,0.0031149550062471885,0.0031149550062471885,0.0031149550062471885,0.0031149550062471885,0.006229910012494377,0.003,0.0010648212438456777,0.002050133762401511,-1.311875975851251e-07,0.0001,1.141061007976532,1.130863070487976,1.151258945465088,0.48527551120584045,0.45599577619093346,0.5145552462207474,1.9896190166473389,10.060176849365234,0.48527551120584045,0.24263775560292022,0.48527551120584045,0.02,1.0219330787658691,1.0133724212646484
4,ppo,-0.00509180951107887,2,7.93332677687825,8.077925499412363,16.011252276290612,2.8378,0.0,0.0,5.66395590749929,0.0008032677785258458,0.0008032677785258458,0.0011687681825296942,0.0011687681825296942,0.00197203596105554,0.00197203596105554,0.00197203596105554,0.00197203596105554,0.00394407192211108,0.003,0.0008032677785258458,0.0011687681825296942,-9.92133180721666e-08,0.0001,1.129745364189148,1.1304097175598145,1.1290810108184814,0.4739529113080543,0.4753953293160653,0.47251049330004324,1.9815603494644165,10.045282363891602,0.4739529113080543,0.23697645565402714,0.4739529113080543,0.02,0.9895402193069458,0.9901411533355713
5,ppo,-0.002814193478754215,2,8.129137913221559,8.133113279296293,16.26225119251785,2.8378,0.0,0.0,5.695499279444709,0.0016934894865726817,0.0016934894865726817,0.0009238195831234599,0.0009238195831234599,0.0026173090696961416,0.0026173090696961416,0.0026173090696961416,0.0026173090696961416,0.005234618139392283,0.003,0.0016934894865726817,0.0009238195831234599,-9.380748755283275e-08,0.0001,1.1323599219322205,1.1296443939208984,1.1350754499435425,0.4929090170828583,0.4937046077667602,0.4921134263989564,1.9880027770996094,10.0426025390625,0.4929090170828583,0.24645450854142914,0.4929090170828583,0.02,1.0080655813217163,1.0030417442321777
6,ppo,0.014243403866942131,2,8.133688625312068,7.958716299697349,16.09240492500942,2.8378,0.0,0.0,5.69739644725147,0.0016904882637933647,0.0016904882637933647,0.00242980459107601,0.00242980459107601,0.004120292854869374,0.004120292854869374,0.004120292854869374,0.004120292854869374,0.008240585709738749,0.003,0.0016904882637933647,0.00242980459107601,-1.3290262014520327e-07,0.0001,1.133879840373993,1.1377637386322021,1.1299959421157837,0.48598312990407866,0.4569918229730878,0.5149744368350695,1.9705853462219238,10.065054893493652,0.48598312990407866,0.24299156495203933,0.48598312990407866,0.02,1.0082486867904663,1.004855751991272
7,ppo,0.0004990694186373625,2,7.993277395625874,7.945348635294351,15.938626030920226,2.8378,0.0,0.0,5.697141777422306,0.000506541110227438,0.000506541110227438,0.0007064632282030084,0.0007064632282030084,0.0012130043384304464,0.0012130043384304464,0.0012130043384304464,0.0012130043384304464,0.0024260086768608928,0.003,0.000506541110227438,0.0007064632282030084,-1.0176154022845455e-07,0.0001,1.1312835216522217,1.1288068294525146,1.1337602138519287,0.47081031636692616,0.4667782607495754,0.4748423719842769,1.9858657121658325,10.026575088500977,0.47081031636692616,0.23540515818346308,0.47081031636692616,0.02,1.0036594867706299,1.0086658000946045
8,ppo,0.013646092542948235,2,8.095624701319702,8.063445475959577,16.15907017727928,2.8378,0.0,0.0,5.681170272893182,0.00034793007674310567,0.00034793007674310567,0.0005426306457804637,0.0005426306457804637,0.0008905607225235694,0.0008905607225235694,0.0008905607225235694,0.0008905607225235694,0.0017811214450471388,0.003,0.00034793007674310567,0.0005426306457804637,-1.2005995868591414e-07,0.0001,1.1255428194999695,1.120650053024292,1.130435585975647,0.48831800492315014,0.48631440165677997,0.4903216081895203,1.9868918657302856,10.027094841003418,0.48831800492315014,0.24415900246157507,0.48831800492315014,0.02,0.999045729637146,0.9973435997962952
9,ppo,-0.020811285273122808,2,8.138288430967503,8.02222962373003,16.160518054697533,2.8378,0.0,0.0,5.66981819637914,0.0006614203499810067,0.0006614203499810067,0.0010228052267717744,0.0010228052267717744,0.001684225576752781,0.001684225576752781,0.001684225576752781,0.001684225576752781,0.003368451153505562,0.003,0.0006614203499810067,0.0010228052267717744,-1.1941381474755986e-07,0.0001,1.1319977045059204,1.11989164352417,1.144103765487671,0.4815451153406096,0.46453208078870034,0.4985581498925189,1.989975929260254,10.041345596313477,0.4815451153406096,0.2407725576703048,0.4815451153406096,0.02,0.9978503584861755,0.9876748323440552
